customer_id,first_name,last_name,email,phone_number,gender,age,registration_date,city,state,country,yearly_income,no_of_children
0695ef1e_ren.6165202308,Ren,Watanabe,ren.watanabe@gmail.com,8.14E+11,M,65,8/28/2023,Yokohama,Tokyo,Japan,67793.90,"1 or More Children"
06fb2296_nusr5441202303,Nusrat,Islam,nusrat.islam@gmail.com,8.80E+11,F,62,3/19/2023,Chittagong,Sylhet,Bangladesh,79309.28,"0 Children"
07065e3a_mich6436202302,Michael,Williams,michael.williams4@gmail.com,12856976436,M,43,2/28/2023,"New York","New York",USA,37076.88,"Not Married"
070bb123_isla9288202209,Isla,Thompson,isla.thompson8@gmail.com,6138219288,M,24,9/19/2022,Newcastle,"New South Wales",Australia,85612.63,"0 Children"
0712368e_saku2455202209,Sakura,Tanaka,sakura.tanaka12@gmail.com,8.11E+11,F,58,9/8/2022,Osaka,Hiroshima,Japan,65248.55,"0 Children"
07193bcc_haru1477202301,Haruto,Takahashi,haruto.takahashi9@gmail.com,8.20E+11,F,55,1/12/2023,Sapporo,Fukuoka,Japan,49088.32,"Not Married"
078c5b6d_will2620202212,William,White,william.white11@gmail.com,6155612620,F,47,12/29/2022,Perth,Tasmania,Australia,44751.61,"Not Married"
07a7ca90_priy7078202208,Priya,Singh,priya.singh@gmail.com,9.14E+11,F,62,8/6/2022,Pune,"Tamil Nadu",India,103179.54,"1 or More Children"
085633dd_ava.3802202210,Ava,Harris,ava.harris10@gmail.com,6126103802,Other,45,10/21/2022,Brisbane,"Western Australia",Australia,46775.65,"0 Children"
08631739_emma8415202307,Emma,Johnson,emma.johnson6@gmail.com,13047198415,F,57,7/24/2023,"Los Angeles",Pennsylvania,USA,148035.50,"0 Children"
08d8429f_priy3661202210,Priya,Singh,priya.singh9@gmail.com,9.16E+11,Other,56,10/25/2022,Chennai,Maharashtra,India,143741.72,"1 or More Children"
0921778e_mei.8062202201,Mei,Kato,mei.kato4@gmail.com,8.17E+11,M,28,1/9/2022,Sendai,Kyoto,Japan,72130.12,"Not Married"
093edd2c_thom6583202309,Thomas,Wagner,thomas.wagner9@gmail.com,4.97E+11,M,28,9/16/2023,Stuttgart,"Lower Saxony",Germany,52594.97,"1 or More Children"
095feb72_giul0298202207,Giulia,Esposito,giulia.esposito13@gmail.com,3.99E+11,F,38,7/31/2022,Milan,Campania,Italy,60624.77,"1 or More Children"
0982fe8f_amel3901202302,Amelia,Martin,amelia.martin6@gmail.com,6104173901,F,37,2/10/2023,Perth,Victoria,Australia,87818.92,"Not Married"
09d389c5_hina2115202304,Hina,Nakamura,hina.nakamura5@gmail.com,8.13E+11,Other,54,4/5/2023,Hiroshima,Aichi,Japan,140029.28,"1 or More Children"
0a38d8da_jun.7884202305,Jun,Lee,jun.lee11@gmail.com,6576197884,M,35,5/23/2023,Singapore,Singapore,Singapore,33257.93,"0 Children"
0a59cfbc_john2374202209,John,Smith,john.smith6@gmail.com,10530822374,M,50,9/22/2022,Houston,Georgia,USA,24933.13,"1 or More Children"
0a63bf5a_sadi9142202302,Sadia,Ahmed,sadia.ahmed9@gmail.com,8.80E+11,Other,33,2/21/2023,Comilla,Rangpur,Bangladesh,38126.88,"Not Married"
0aa03f59_farh3035202306,Farhan,Siddique,farhan.siddique4@gmail.com,8.80E+11,Other,36,6/23/2023,Dhaka,Rajshahi,Bangladesh,96120.35,"Not Married"
0b198bc4_thom9597202206,Thomas,Wagner,thomas.wagner7@gmail.com,4.99E+11,Other,46,6/6/2022,Berlin,Hesse,Germany,61483.96,"Not Married"
0b532ebf_luca1027202310,Luca,Bianchi,luca.bianchi8@gmail.com,3.96E+11,F,62,10/24/2023,Rome,Campania,Italy,140993.13,"1 or More Children"
0ba4d3eb_vikr2378202308,Vikram,Yadav,vikram.yadav9@gmail.com,9.14E+11,F,36,8/23/2023,Mumbai,Delhi,India,102746.58,"1 or More Children"
0cfcbde7_mich5699202309,Michael,Williams,michael.williams12@gmail.com,17109255699,F,44,9/13/2023,Phoenix,Georgia,USA,106880.39,"Not Married"
0d47b2cc_sadi6515202207,Sadia,Ahmed,sadia.ahmed4@gmail.com,8.80E+11,M,42,7/1/2022,Narayanganj,Khulna,Bangladesh,40613.80,"Not Married"
0d74d530_ava.7975202305,Ava,Harris,ava.harris@gmail.com,6162807975,F,31,5/6/2023,"Gold Coast",Tasmania,Australia,69206.46,"1 or More Children"
0d78a72d_mia.5284202201,Mia,Martinez,mia.martinez2@gmail.com,14521905284,M,42,1/21/2022,Chicago,California,USA,116653.78,"0 Children"
0dc23d8a_luca7348202209,Luca,Bianchi,luca.bianchi4@gmail.com,3.97E+11,F,43,9/22/2022,Florence,Emilia-Romagna,Italy,44623.81,"0 Children"
0e211afe_ling3550202306,Ling,Wong,ling.wong11@gmail.com,6573153550,F,60,6/15/2023,Singapore,Singapore,Singapore,149183.31,"0 Children"
0e79ccd5_li.t6882202303,Li,Teo,li.teo3@gmail.com,6541176882,M,38,3/6/2023,Singapore,Singapore,Singapore,40488.69,"Not Married"
0ec97901_aoi.1557202310,Aoi,Ito,aoi.ito7@gmail.com,8.19E+11,Other,56,10/2/2023,Yokohama,Osaka,Japan,117518.64,"Not Married"
0ecf0a9f_will1140202301,William,Rodriguez,william.rodriguez8@gmail.com,19117971140,Other,38,1/25/2023,Chicago,Georgia,USA,75613.52,"Not Married"
0f8440a7_hiro7312202206,Hiroshi,Sato,hiroshi.sato8@gmail.com,8.14E+11,Other,53,6/20/2022,Hiroshima,Aichi,Japan,96639.82,"1 or More Children"
0fd8770e_char1081202203,Charlotte,Taylor,charlotte.taylor9@gmail.com,6156001081,F,49,3/21/2022,"Gold Coast","New South Wales",Australia,49499.72,"Not Married"
103b7cc5_neha8223202304,Neha,Verma,neha.verma7@gmail.com,9.12E+11,Other,42,4/27/2023,Hyderabad,"West Bengal",India,123018.31,"0 Children"
1058deb6_ursu3049202309,Ursula,Meyer,ursula.meyer5@gmail.com,5.00E+11,F,20,9/22/2023,Dortmund,Baden-WÃ¼rttemberg,Germany,93593.75,"0 Children"
105b0897_kari5289202207,Karim,Khan,karim.khan2@gmail.com,8.80E+11,Other,63,7/30/2022,Mymensingh,Mymensingh,Bangladesh,99654.13,"Not Married"
10775955_kari6305202312,Karim,Khan,karim.khan7@gmail.com,8.80E+11,F,25,12/10/2023,Sylhet,Mymensingh,Bangladesh,90703.39,"1 or More Children"
108df76c_andr5697202304,Andrea,Colombo,andrea.colombo7@gmail.com,3.91E+11,F,51,4/15/2023,Bologna,Tuscany,Italy,51098.06,"1 or More Children"
108e7051_rahu1386202209,Rahul,Gupta,rahul.gupta3@gmail.com,9.18E+11,Other,32,9/7/2022,Bangalore,"Tamil Nadu",India,50286.27,"0 Children"
110952b8_jun.5290202312,Jun,Lee,jun.lee16@gmail.com,6520955290,Other,35,12/26/2023,Singapore,Singapore,Singapore,47265.52,"1 or More Children"
113c4b11_thom1342202206,Thomas,Wagner,thomas.wagner@gmail.com,4.97E+11,Other,62,6/13/2022,Berlin,Rhineland-Palatinate,Germany,86554.13,"1 or More Children"
11e92617_will3595202206,William,Rodriguez,william.rodriguez6@gmail.com,16179203595,F,54,6/25/2022,Philadelphia,Florida,USA,83700.78,"1 or More Children"
122146d7_kait8624202301,Kaito,Yamamoto,kaito.yamamoto3@gmail.com,8.15E+11,M,58,1/15/2023,Hiroshima,Fukuoka,Japan,88947.75,"0 Children"
12a8c22a_giul2059202208,Giulia,Esposito,giulia.esposito2@gmail.com,3.92E+11,M,30,8/17/2022,Venice,Tuscany,Italy,65291.49,"1 or More Children"
12b66f9b_soni0901202312,Sonia,Jha,sonia.jha4@gmail.com,9.11E+11,Other,63,12/26/2023,Pune,Rajasthan,India,95581.15,"0 Children"
12c0aa43_char7397202312,Charlotte,Anderson,charlotte.anderson7@gmail.com,12330097397,M,29,12/10/2023,Vancouver,"Nova Scotia",Canada,142901.82,"0 Children"
133c2d46_saku1100202307,Sakura,Tanaka,sakura.tanaka8@gmail.com,8.15E+11,F,25,7/24/2023,Hiroshima,Fukuoka,Japan,25102.43,"Not Married"
134a05a7_giul2648202212,Giulia,Esposito,giulia.esposito7@gmail.com,3.99E+11,M,63,12/24/2022,Naples,Piedmont,Italy,30307.26,"0 Children"
135d2512_luca0885202305,Lucas,Smith,lucas.smith@gmail.com,10551270885,Other,33,5/28/2023,Vancouver,Ontario,Canada,26750.11,"Not Married"
13b62ca8_thom8663202203,Thomas,Wagner,thomas.wagner4@gmail.com,4.92E+11,F,59,3/25/2022,Berlin,"Lower Saxony",Germany,88830.84,"0 Children"
13bdfad7_min.1500202304,Min,Ng,min.ng8@gmail.com,6577161500,Other,28,4/26/2023,Singapore,Singapore,Singapore,78092.34,"0 Children"
13d2d9c3_soni3774202309,Sonia,Jha,sonia.jha@gmail.com,9.15E+11,M,48,9/13/2023,Delhi,Karnataka,India,122160.90,"Not Married"
14081537_luca4567202309,Lucas,Smith,lucas.smith7@gmail.com,10334074567,M,64,9/12/2023,Calgary,"New Brunswick",Canada,29137.11,"0 Children"
147732b6_andr0457202202,Andrea,Colombo,andrea.colombo9@gmail.com,3.94E+11,M,24,2/28/2022,Rome,Lombardy,Italy,142893.34,"0 Children"
14bf2fbb_oliv1697202206,Olivia,Brown,olivia.brown7@gmail.com,14784071697,F,40,6/18/2022,"Los Angeles",Georgia,USA,97002.16,"0 Children"
153664d9_ling7310202209,Ling,Wong,ling.wong14@gmail.com,6585537310,Other,39,9/25/2022,Singapore,Singapore,Singapore,39912.32,"Not Married"
15421a56_fran4157202203,Francesco,Marino,francesco.marino8@gmail.com,3.95E+11,Other,40,3/2/2022,Genoa,Piedmont,Italy,107475.80,"Not Married"
169d8677_min.9186202206,Min,Ng,min.ng10@gmail.com,6529449186,M,50,6/27/2022,Singapore,Singapore,Singapore,138010.66,"Not Married"
16db91ae_raj.8033202306,Raj,Patel,raj.patel2@gmail.com,9.14E+11,F,51,6/21/2023,Mumbai,Telangana,India,31159.24,"1 or More Children"
16df7822_mia.4527202309,Mia,Wilson,mia.wilson6@gmail.com,6128264527,M,46,9/19/2023,Sydney,"Western Australia",Australia,112982.64,"0 Children"
1735b12d_robe4209202312,Robert,Miller,robert.miller2@gmail.com,16628974209,M,36,12/11/2023,"San Diego",Pennsylvania,USA,69328.47,"1 or More Children"
175ef4b6_soph5413202204,Sophia,Lee,sophia.lee8@gmail.com,14149265413,F,20,4/28/2022,Calgary,"British Columbia",Canada,39968.39,"0 Children"
1799caf2_kama6337202304,Kamal,Bhuiyan,kamal.bhuiyan8@gmail.com,8.80E+11,M,65,4/29/2023,Narayanganj,Mymensingh,Bangladesh,93463.47,"1 or More Children"
17f202be_tahm1092202304,Tahmina,Chowdhury,tahmina.chowdhury9@gmail.com,8.80E+11,F,58,4/24/2023,Khulna,Rangpur,Bangladesh,71212.32,"1 or More Children"
1831c69b_priy7501202207,Priya,Singh,priya.singh10@gmail.com,9.13E+11,M,61,7/24/2022,Ahmedabad,Karnataka,India,93142.37,"Not Married"
19301294_gius7754202307,Giuseppe,Rossi,giuseppe.rossi13@gmail.com,3.93E+11,Other,32,7/11/2023,Bologna,Emilia-Romagna,Italy,134145.63,"1 or More Children"
198c4a6a_ava.3341202212,Ava,Harris,ava.harris3@gmail.com,6142993341,M,33,12/7/2022,Melbourne,Tasmania,Australia,69570.09,"0 Children"
19aa685b_noah0058202204,Noah,Smith,noah.smith3@gmail.com,6100030058,Other,65,4/16/2022,Wollongong,"South Australia",Australia,116184.62,"Not Married"
19aa8b76_yuki1063202205,Yuki,Suzuki,yuki.suzuki10@gmail.com,8.17E+11,F,60,5/6/2022,Tokyo,Osaka,Japan,38463.48,"0 Children"
19af6eb0_liam7451202202,Liam,Martin,liam.martin@gmail.com,15961027451,F,28,2/1/2022,Winnipeg,Ontario,Canada,105479.12,"1 or More Children"
19d92050_jaha6738202204,Jahanara,Akhtar,jahanara.akhtar10@gmail.com,8.80E+11,M,30,4/14/2022,Chittagong,Khulna,Bangladesh,146496.77,"0 Children"
1a088a88_isab2281202304,Isabella,Clark,isabella.clark8@gmail.com,18363372281,M,64,4/7/2023,Ottawa,"British Columbia",Canada,121946.28,"1 or More Children"
1a4e82d6_hans7149202301,Hans,MÃ¼ller,hans.mÃ¼ller2@gmail.com,4.97E+11,F,39,1/11/2023,Stuttgart,Rhineland-Palatinate,Germany,128752.88,"1 or More Children"
1a4ead85_marc1484202312,Marco,Ferrari,marco.ferrari8@gmail.com,3.96E+11,M,33,12/28/2023,Florence,Emilia-Romagna,Italy,59303.74,"0 Children"
1ada8456_mich2517202208,Michael,Weber,michael.weber3@gmail.com,4.96E+11,F,31,8/5/2022,Stuttgart,"North Rhine-Westphalia",Germany,94141.84,"1 or More Children"
1b1f01cf_chia8297202301,Chiara,Ricci,chiara.ricci2@gmail.com,3.97E+11,F,51,1/7/2023,Naples,Lazio,Italy,23794.20,"1 or More Children"
1c1df143_fran0575202206,Francesco,Marino,francesco.marino10@gmail.com,3.91E+11,Other,43,6/4/2022,Rome,Tuscany,Italy,49880.29,"1 or More Children"
1c9c957d_oliv1722202202,Oliver,Johnson,oliver.johnson3@gmail.com,11793631722,M,44,2/15/2022,Calgary,Alberta,Canada,111983.65,"Not Married"
1cc16823_char3430202204,Charlotte,Taylor,charlotte.taylor7@gmail.com,6159783430,Other,39,4/28/2022,Melbourne,"Northern Territory",Australia,132853.99,"Not Married"
1cdc4806_giul6273202208,Giulia,Esposito,giulia.esposito6@gmail.com,3.91E+11,F,63,8/14/2022,Bologna,Campania,Italy,49280.34,"Not Married"
1cdf7538_sadi5191202209,Sadia,Ahmed,sadia.ahmed6@gmail.com,8.80E+11,F,22,9/8/2022,Khulna,Barisal,Bangladesh,97794.47,"1 or More Children"
1d5e0bab_noah9653202210,Noah,Wilson,noah.wilson3@gmail.com,14206929653,Other,40,10/7/2022,Kitchener,"New Brunswick",Canada,21931.62,"0 Children"
1d669de1_jun.3092202309,Jun,Lee,jun.lee10@gmail.com,6566813092,M,27,9/8/2023,Singapore,Singapore,Singapore,105370.99,"Not Married"
1dcc305f_farh0231202201,Farhan,Siddique,farhan.siddique@gmail.com,8.80E+11,F,49,1/11/2022,Khulna,Rajshahi,Bangladesh,98258.53,"Not Married"
1e51a2a3_mich2573202208,Michael,Weber,michael.weber6@gmail.com,4.99E+11,M,33,8/13/2022,Frankfurt,"North Rhine-Westphalia",Germany,54370.24,"1 or More Children"
1f1461a3_priy2171202209,Priya,Singh,priya.singh8@gmail.com,9.11E+11,F,52,9/18/2022,Hyderabad,Maharashtra,India,46405.96,"1 or More Children"
1f4fbb7f_haru6971202308,Haruto,Takahashi,haruto.takahashi16@gmail.com,8.17E+11,Other,40,8/20/2023,Nagoya,Fukuoka,Japan,52996.33,"1 or More Children"
1f716f2d_hiro5074202209,Hiroshi,Sato,hiroshi.sato11@gmail.com,8.19E+11,M,41,9/30/2022,Tokyo,Hokkaido,Japan,45197.51,"0 Children"
1fa14475_haru3261202301,Haruto,Takahashi,haruto.takahashi12@gmail.com,8.12E+11,Other,29,1/3/2023,Sapporo,Osaka,Japan,87232.79,"Not Married"
2034ec1d_vikr0940202309,Vikram,Yadav,vikram.yadav5@gmail.com,9.12E+11,F,19,9/18/2023,Mumbai,Maharashtra,India,46954.90,"1 or More Children"
2048e5f9_fati4866202212,Fatima,Hossain,fatima.hossain2@gmail.com,8.80E+11,F,65,12/29/2022,Sylhet,Rangpur,Bangladesh,67071.34,"Not Married"
206de84b_priy0935202309,Priya,Singh,priya.singh15@gmail.com,9.15E+11,Other,28,9/27/2023,Delhi,Maharashtra,India,71834.62,"Not Married"
207ffad3_fran5974202211,Francesco,Marino,francesco.marino9@gmail.com,3.99E+11,F,19,11/5/2022,Verona,Piedmont,Italy,40016.43,"1 or More Children"
2128a1dd_yan.0144202205,Yan,Goh,yan.goh9@gmail.com,6553710144,Other,23,5/4/2022,Singapore,Singapore,Singapore,138413.08,"1 or More Children"
21409e45_rahi2281202308,Rahim,Ali,rahim.ali8@gmail.com,8.80E+11,Other,18,8/18/2023,Mymensingh,Rajshahi,Bangladesh,66756.30,"0 Children"
2166db11_fati6071202310,Fatima,Hossain,fatima.hossain@gmail.com,8.80E+11,Other,46,10/17/2023,Rajshahi,Khulna,Bangladesh,128116.39,"0 Children"
21abe93f_giul3464202310,Giulia,Esposito,giulia.esposito12@gmail.com,3.99E+11,F,62,10/9/2023,Florence,Emilia-Romagna,Italy,58617.92,"Not Married"
21ae1fba_wei.6833202307,Wei,Tan,wei.tan6@gmail.com,6505106833,F,39,7/3/2023,Singapore,Singapore,Singapore,67365.50,"Not Married"
22bab5f5_ling3808202207,Ling,Wong,ling.wong10@gmail.com,6507913808,F,47,7/20/2022,Singapore,Singapore,Singapore,35543.91,"0 Children"
23a309ae_anja1864202307,Anjali,Sharma,anjali.sharma6@gmail.com,9.12E+11,M,58,7/11/2023,Surat,Karnataka,India,119440.77,"1 or More Children"
23abc3ac_isab9226202312,Isabella,Clark,isabella.clark16@gmail.com,19893069226,F,60,12/2/2023,Winnipeg,Alberta,Canada,59533.62,"0 Children"
23ecb596_oliv4328202307,Oliver,Brown,oliver.brown9@gmail.com,6189554328,F,24,7/9/2023,Sydney,"South Australia",Australia,122566.14,"1 or More Children"
2453a555_mich0877202207,Michael,Weber,michael.weber2@gmail.com,4.94E+11,Other,44,7/11/2022,Hamburg,"North Rhine-Westphalia",Germany,84958.20,"1 or More Children"
2496245d_ales1727202205,Alessia,Romano,alessia.romano8@gmail.com,3.93E+11,Other,25,5/2/2022,Milan,Tuscany,Italy,97277.89,"0 Children"
24e0ffdd_sabi6314202208,Sabine,Becker,sabine.becker10@gmail.com,4.97E+11,F,21,8/12/2022,Frankfurt,"North Rhine-Westphalia",Germany,66870.12,"0 Children"
253ac26e_amel0094202305,Amelia,White,amelia.white6@gmail.com,16707080094,M,22,5/31/2023,Montreal,Alberta,Canada,46499.51,"Not Married"
255a7a98_saku9655202309,Sakura,Tanaka,sakura.tanaka5@gmail.com,8.12E+11,Other,21,9/2/2023,Sendai,Aichi,Japan,96591.57,"1 or More Children"
2614c58e_andr2865202207,Andreas,Schulz,andreas.schulz7@gmail.com,5.00E+11,Other,46,7/3/2022,Dortmund,"North Rhine-Westphalia",Germany,111378.66,"0 Children"
2616dc96_ayes5368202202,Ayesha,Rahman,ayesha.rahman14@gmail.com,8.80E+11,Other,19,2/6/2022,Dhaka,Barisal,Bangladesh,71769.81,"Not Married"
26a050f2_mia.1513202210,Mia,Brown,mia.brown12@gmail.com,14141321513,Other,21,10/18/2022,"Quebec City","Nova Scotia",Canada,27756.04,"Not Married"
27137749_rahi6766202312,Rahim,Ali,rahim.ali4@gmail.com,8.80E+11,Other,25,12/12/2023,Dhaka,Chittagong,Bangladesh,135820.91,"Not Married"
27d328b6_min.4773202305,Min,Ng,min.ng4@gmail.com,6568534773,F,29,5/31/2023,Singapore,Singapore,Singapore,68001.61,"Not Married"
288e8b79_oliv7249202301,Oliver,Johnson,oliver.johnson9@gmail.com,18245857249,F,50,1/6/2023,Winnipeg,Alberta,Canada,133536.20,"Not Married"
289d0c3f_noah0905202212,Noah,Wilson,noah.wilson2@gmail.com,10974540905,F,40,12/15/2022,Montreal,"Nova Scotia",Canada,52679.05,"1 or More Children"
291855c2_kait7170202305,Kaito,Yamamoto,kaito.yamamoto7@gmail.com,8.18E+11,Other,59,5/18/2023,Yokohama,Hiroshima,Japan,140576.88,"0 Children"
293ef2e5_mich9138202204,Michael,Williams,michael.williams5@gmail.com,19515059138,Other,50,4/24/2022,Philadelphia,"New York",USA,95884.42,"1 or More Children"
2969ae8f_amit5650202203,Amit,Kumar,amit.kumar5@gmail.com,9.13E+11,Other,56,3/20/2022,Hyderabad,Karnataka,India,82868.27,"Not Married"
2adb78a2_amit4155202311,Amit,Kumar,amit.kumar9@gmail.com,9.11E+11,M,57,11/18/2023,Ahmedabad,Gujarat,India,89332.02,"Not Married"
2b0cf1c0_emma0055202210,Emma,Johnson,emma.johnson@gmail.com,18338590055,F,57,10/23/2022,"San Diego",Florida,USA,136720.61,"Not Married"
2b17ce71_jack3887202208,Jack,Jones,jack.jones14@gmail.com,6146633887,F,36,8/21/2022,"Gold Coast","Western Australia",Australia,107285.00,"0 Children"
2b1ae8dc_mia.0820202210,Mia,Brown,mia.brown10@gmail.com,10021820820,Other,22,10/10/2022,Toronto,"Nova Scotia",Canada,81171.57,"Not Married"
2b57f7e4_hina5468202310,Hina,Nakamura,hina.nakamura6@gmail.com,8.18E+11,F,57,10/26/2023,Fukuoka,Tokyo,Japan,57109.21,"Not Married"
2b912250_mart2604202304,Martina,Greco,martina.greco8@gmail.com,4.00E+11,F,24,4/1/2023,Verona,Veneto,Italy,116430.37,"1 or More Children"
2b927466_yuki5924202307,Yuki,Suzuki,yuki.suzuki2@gmail.com,8.14E+11,M,18,7/10/2023,Hiroshima,Kyoto,Japan,64959.65,"0 Children"
2d96bdee_benj3479202310,Benjamin,Taylor,benjamin.taylor3@gmail.com,14443103479,Other,22,10/24/2023,Ottawa,Ontario,Canada,44187.52,"0 Children"
2dc4723f_isla2558202311,Isla,Thompson,isla.thompson3@gmail.com,6195342558,Other,29,11/21/2023,Perth,"Western Australia",Australia,106639.35,"0 Children"
2e1b2954_char6015202210,Charlotte,Anderson,charlotte.anderson2@gmail.com,11992866015,F,23,10/18/2022,Kitchener,Saskatchewan,Canada,143501.36,"Not Married"
2e397d37_mich0281202301,Michael,Williams,michael.williams6@gmail.com,18818400281,M,65,1/20/2023,"New York",California,USA,143538.90,"1 or More Children"
2e9e76c7_liam0394202304,Liam,Martin,liam.martin9@gmail.com,13518640394,Other,48,4/20/2023,Winnipeg,"British Columbia",Canada,23390.50,"Not Married"
2ea65294_vikr7277202212,Vikram,Yadav,vikram.yadav6@gmail.com,9.13E+11,Other,63,12/31/2022,Bangalore,Delhi,India,49547.38,"Not Married"
2ebd66c4_ales8103202306,Alessia,Romano,alessia.romano7@gmail.com,3.90E+11,Other,59,6/29/2023,Verona,Lombardy,Italy,71405.86,"Not Married"
2f1cc19d_anna4771202204,Anna,Schmidt,anna.schmidt6@gmail.com,4.94E+11,F,40,4/21/2022,Essen,Bavaria,Germany,61192.80,"1 or More Children"
2f626042_jack0387202303,Jack,Jones,jack.jones6@gmail.com,6197190387,Other,23,3/6/2023,Hobart,Queensland,Australia,137604.13,"Not Married"
2f686148_tahm3972202205,Tahmina,Chowdhury,tahmina.chowdhury@gmail.com,8.80E+11,Other,65,5/11/2022,Rangpur,Sylhet,Bangladesh,87535.88,"1 or More Children"
302dc77e_yuki9005202307,Yuki,Suzuki,yuki.suzuki7@gmail.com,8.10E+11,Other,53,7/3/2023,Sapporo,Hokkaido,Japan,87150.54,"1 or More Children"
3040b4a9_mich7065202304,Michael,Weber,michael.weber5@gmail.com,4.94E+11,M,65,4/27/2023,Stuttgart,Bavaria,Germany,62412.18,"1 or More Children"
30447ab3_amel5682202311,Amelia,Martin,amelia.martin7@gmail.com,6194365682,F,34,11/9/2023,"Gold Coast","Australian Capital Territory",Australia,35154.41,"0 Children"
307593ee_jack9424202201,Jack,Jones,jack.jones11@gmail.com,6108909424,F,55,1/20/2022,Canberra,"Northern Territory",Australia,62566.18,"0 Children"
308eb8fd_xin.9773202209,Xin,Koh,xin.koh2@gmail.com,6503069773,F,60,9/2/2022,Singapore,Singapore,Singapore,91623.36,"0 Children"
