order_id,customer_id,order_date,order_status,payment_method,discount_applied,tax_amount,shipping_cost,shipment_date,delivery_date,specific_shipping_address,city,state,country,order_source
01b68f76_sofi8707202303_796f9,01b68f76_sofi8707202303,"2024-02-19 00:00:00",Delivered,"Bank Transfer",26.70,12.60,18.27,"2024-02-26 00:00:00","2024-03-04 00:00:00","62 Main St",NULL,Emilia-Romagna,Italy,"Social Media"
01b68f76_sofi8707202303_ab4a4,01b68f76_sofi8707202303,"2023-12-29 00:00:00",Shipped,PayPal,26.80,9.57,40.30,"2023-12-31 00:00:00","2024-01-07 00:00:00","76 Main St",NULL,Emilia-Romagna,Italy,"Mobile App"
01b68f76_sofi8707202303_d44db,01b68f76_sofi8707202303,"2023-11-14 00:00:00",Pending,PayPal,12.32,19.44,17.12,"2023-11-20 00:00:00","2023-11-27 00:00:00","78 Main St",NULL,Emilia-Romagna,Italy,"Mobile App"
01b68f76_sofi8707202303_f1914,01b68f76_sofi8707202303,"2024-04-20 00:00:00",Cancelled,"Cash on Delivery",32.16,16.02,7.69,"2024-04-26 00:00:00","2024-05-04 00:00:00","61 Main St",NULL,Emilia-Romagna,Italy,"Mobile App"
01b68f76_sofi8707202303_f5268,01b68f76_sofi8707202303,"2023-09-06 00:00:00",Delivered,"Credit Card",48.56,19.74,33.45,"2023-09-10 00:00:00","2023-09-11 00:00:00","74 Main St",NULL,Emilia-Romagna,Italy,"Social Media"
01b68f76_sofi8707202303_f95e5,01b68f76_sofi8707202303,"2023-12-30 00:00:00",Pending,"Cash on Delivery",3.89,5.27,6.79,"2024-01-02 00:00:00","2024-01-02 00:00:00","2 Main St",NULL,Emilia-Romagna,Italy,Website
01d99d30_anja6355202212_05282,01d99d30_anja6355202212,"2023-08-22 00:00:00",Delivered,PayPal,13.79,7.18,21.73,"2023-08-29 00:00:00","2023-09-01 00:00:00","77 Main St",NULL,Maharashtra,India,"Social Media"
01d99d30_anja6355202212_070ea,01d99d30_anja6355202212,"2023-05-08 00:00:00",Pending,PayPal,34.47,6.72,45.92,"2023-05-12 00:00:00","2023-05-12 00:00:00","47 Main St",NULL,Maharashtra,India,Website
01d99d30_anja6355202212_40c07,01d99d30_anja6355202212,"2024-04-17 00:00:00",Cancelled,"Bank Transfer",2.86,13.97,7.65,"2024-04-19 00:00:00","2024-04-24 00:00:00","4 Main St",NULL,Maharashtra,India,"Mobile App"
01d99d30_anja6355202212_491b9,01d99d30_anja6355202212,"2023-10-14 00:00:00",Shipped,"Bank Transfer",25.46,11.36,7.82,"2023-10-18 00:00:00","2023-10-23 00:00:00","73 Main St",NULL,Maharashtra,India,"Mobile App"
01d99d30_anja6355202212_62c67,01d99d30_anja6355202212,"2023-09-13 00:00:00",Delivered,"Cash on Delivery",42.91,10.28,26.31,"2023-09-17 00:00:00","2023-09-27 00:00:00","17 Main St",NULL,Maharashtra,India,"Mobile App"
01d99d30_anja6355202212_66dfa,01d99d30_anja6355202212,"2023-02-15 00:00:00",Returned,"Cash on Delivery",38.19,16.47,41.55,"2023-02-21 00:00:00","2023-02-23 00:00:00","6 Main St",NULL,Maharashtra,India,Website
01d99d30_anja6355202212_73945,01d99d30_anja6355202212,"2023-06-16 00:00:00",Delivered,PayPal,18.76,10.18,24.20,"2023-06-22 00:00:00","2023-06-27 00:00:00","83 Main St",NULL,Maharashtra,India,"Social Media"
01d99d30_anja6355202212_838ed,01d99d30_anja6355202212,"2023-12-02 00:00:00",Pending,"Credit Card",17.55,16.92,30.09,"2023-12-04 00:00:00","2023-12-11 00:00:00","58 Main St",NULL,Maharashtra,India,"Social Media"
01d99d30_anja6355202212_d8398,01d99d30_anja6355202212,"2023-06-03 00:00:00",Cancelled,"Bank Transfer",31.41,16.05,41.91,"2023-06-05 00:00:00","2023-06-14 00:00:00","97 Main St",NULL,Maharashtra,India,"Mobile App"
01d99d30_anja6355202212_d8eb1,01d99d30_anja6355202212,"2024-04-21 00:00:00",Delivered,"Cash on Delivery",39.24,12.52,41.72,"2024-04-27 00:00:00","2024-04-29 00:00:00","81 Main St",NULL,Maharashtra,India,"Mobile App"
01de25d2_min.7839202209_10aa7,01de25d2_min.7839202209,"2023-03-05 00:00:00",Shipped,"Bank Transfer",36.38,5.66,46.06,"2023-03-11 00:00:00","2023-03-16 00:00:00","70 Main St",NULL,Singapore,Singapore,"Mobile App"
01de25d2_min.7839202209_13eb5,01de25d2_min.7839202209,"2024-04-22 00:00:00",Cancelled,"Credit Card",0.52,8.92,18.60,"2024-04-23 00:00:00","2024-05-04 00:00:00","7 Main St",NULL,Singapore,Singapore,"Mobile App"
01de25d2_min.7839202209_5729e,01de25d2_min.7839202209,"2023-04-15 00:00:00",Cancelled,PayPal,10.25,19.38,22.67,"2023-04-22 00:00:00","2023-04-27 00:00:00","56 Main St",NULL,Singapore,Singapore,Website
01de25d2_min.7839202209_94dd4,01de25d2_min.7839202209,"2024-01-24 00:00:00",Pending,"Cash on Delivery",7.26,17.65,9.44,"2024-01-26 00:00:00","2024-02-05 00:00:00","17 Main St",NULL,Singapore,Singapore,Website
01de25d2_min.7839202209_998c7,01de25d2_min.7839202209,"2024-01-05 00:00:00",Cancelled,"Bank Transfer",17.81,10.81,12.16,"2024-01-08 00:00:00","2024-01-17 00:00:00","21 Main St",NULL,Singapore,Singapore,Website
01de25d2_min.7839202209_9d6f3,01de25d2_min.7839202209,"2023-02-03 00:00:00",Pending,"Credit Card",36.01,14.84,49.03,"2023-02-04 00:00:00","2023-02-07 00:00:00","55 Main St",NULL,Singapore,Singapore,"Mobile App"
01de25d2_min.7839202209_b3dc4,01de25d2_min.7839202209,"2023-08-09 00:00:00",Pending,"Credit Card",14.76,16.43,33.95,"2023-08-13 00:00:00","2023-08-13 00:00:00","40 Main St",NULL,Singapore,Singapore,"Social Media"
01de25d2_min.7839202209_cff2e,01de25d2_min.7839202209,"2023-11-24 00:00:00",Delivered,PayPal,18.48,10.18,44.06,"2023-11-29 00:00:00","2023-11-28 00:00:00","97 Main St",NULL,Singapore,Singapore,"Social Media"
01de25d2_min.7839202209_d7ea6,01de25d2_min.7839202209,"2024-02-19 00:00:00",Returned,"Cash on Delivery",16.72,16.52,14.14,"2024-02-21 00:00:00","2024-02-27 00:00:00","64 Main St",NULL,Singapore,Singapore,"Social Media"
01de25d2_min.7839202209_e0681,01de25d2_min.7839202209,"2023-08-11 00:00:00",Delivered,"Cash on Delivery",28.00,13.87,21.83,"2023-08-17 00:00:00","2023-08-24 00:00:00","3 Main St",NULL,Singapore,Singapore,Website
01de25d2_min.7839202209_e33e2,01de25d2_min.7839202209,"2023-01-07 00:00:00",Cancelled,"Credit Card",34.48,5.79,14.71,"2023-01-10 00:00:00","2023-01-19 00:00:00","92 Main St",NULL,Singapore,Singapore,"Social Media"
01de25d2_min.7839202209_f6950,01de25d2_min.7839202209,"2024-01-02 00:00:00",Delivered,"Credit Card",37.05,17.71,9.21,"2024-01-03 00:00:00","2024-01-05 00:00:00","6 Main St",NULL,Singapore,Singapore,"Social Media"
01de25d2_min.7839202209_f7124,01de25d2_min.7839202209,"2023-09-11 00:00:00",Returned,"Cash on Delivery",4.51,6.45,47.60,"2023-09-13 00:00:00","2023-09-23 00:00:00","74 Main St",NULL,Singapore,Singapore,"Social Media"
020944d7_isab7682202301_0bdb1,020944d7_isab7682202301,"2023-03-27 00:00:00",Cancelled,"Cash on Delivery",35.37,10.21,7.37,"2023-04-03 00:00:00","2023-03-31 00:00:00","58 Main St",NULL,Saskatchewan,Canada,"Social Media"
020944d7_isab7682202301_1af70,020944d7_isab7682202301,"2023-12-14 00:00:00",Cancelled,"Credit Card",3.28,12.45,26.85,"2023-12-20 00:00:00","2023-12-18 00:00:00","72 Main St",NULL,Saskatchewan,Canada,Website
020944d7_isab7682202301_3172d,020944d7_isab7682202301,"2023-07-03 00:00:00",Pending,"Bank Transfer",29.22,19.85,49.53,"2023-07-09 00:00:00","2023-07-16 00:00:00","78 Main St",NULL,Saskatchewan,Canada,"Social Media"
020944d7_isab7682202301_3d09b,020944d7_isab7682202301,"2023-09-10 00:00:00",Returned,"Bank Transfer",12.53,17.46,42.14,"2023-09-17 00:00:00","2023-09-18 00:00:00","31 Main St",NULL,Saskatchewan,Canada,"Mobile App"
020944d7_isab7682202301_5606d,020944d7_isab7682202301,"2024-01-24 00:00:00",Delivered,"Credit Card",18.71,6.62,10.46,"2024-01-28 00:00:00","2024-01-30 00:00:00","91 Main St",NULL,Saskatchewan,Canada,Website
020944d7_isab7682202301_5da68,020944d7_isab7682202301,"2023-10-03 00:00:00",Cancelled,PayPal,45.01,13.48,48.31,"2023-10-04 00:00:00","2023-10-07 00:00:00","63 Main St",NULL,Saskatchewan,Canada,"Social Media"
020944d7_isab7682202301_71407,020944d7_isab7682202301,"2023-08-26 00:00:00",Delivered,"Bank Transfer",13.40,9.00,41.93,"2023-08-30 00:00:00","2023-08-30 00:00:00","3 Main St",NULL,Saskatchewan,Canada,Website
020944d7_isab7682202301_8edc5,020944d7_isab7682202301,"2024-02-20 00:00:00",Returned,"Bank Transfer",26.55,12.36,41.85,"2024-02-27 00:00:00","2024-03-01 00:00:00","11 Main St",NULL,Saskatchewan,Canada,"Mobile App"
020944d7_isab7682202301_9004c,020944d7_isab7682202301,"2024-04-12 00:00:00",Pending,"Credit Card",32.36,18.60,15.06,"2024-04-15 00:00:00","2024-04-22 00:00:00","69 Main St",NULL,Saskatchewan,Canada,Website
020944d7_isab7682202301_9b940,020944d7_isab7682202301,"2024-01-03 00:00:00",Delivered,"Cash on Delivery",19.60,16.37,40.92,"2024-01-07 00:00:00","2024-01-13 00:00:00","45 Main St",NULL,Saskatchewan,Canada,"Mobile App"
020944d7_isab7682202301_c8683,020944d7_isab7682202301,"2023-05-21 00:00:00",Pending,PayPal,49.81,6.24,9.36,"2023-05-25 00:00:00","2023-05-26 00:00:00","74 Main St",NULL,Saskatchewan,Canada,Website
020944d7_isab7682202301_cacaf,020944d7_isab7682202301,"2024-01-10 00:00:00",Pending,"Cash on Delivery",12.79,7.07,20.13,"2024-01-11 00:00:00","2024-01-13 00:00:00","45 Main St",NULL,Saskatchewan,Canada,"Social Media"
020944d7_isab7682202301_d22d9,020944d7_isab7682202301,"2023-08-31 00:00:00",Pending,"Cash on Delivery",11.57,8.56,40.07,"2023-09-06 00:00:00","2023-09-07 00:00:00","84 Main St",NULL,Saskatchewan,Canada,"Social Media"
020944d7_isab7682202301_db8a0,020944d7_isab7682202301,"2023-08-02 00:00:00",Delivered,PayPal,9.23,11.53,46.58,"2023-08-09 00:00:00","2023-08-15 00:00:00","80 Main St",NULL,Saskatchewan,Canada,Website
020944d7_isab7682202301_dc854,020944d7_isab7682202301,"2023-01-03 00:00:00",Returned,"Cash on Delivery",6.84,7.98,39.48,"2023-01-06 00:00:00","2023-01-09 00:00:00","86 Main St",NULL,Saskatchewan,Canada,"Social Media"
